"C2API_Version","Export_Date","Token","Precontext","Sentence","Postcontext"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Neben knisternder Erotik und neuen Bekanntschaften könnte er aber aufgrund von widersprüchlichen Bedürfnissen auch Spannungen und Konflikte bringen.","Trotzdem sollte man aktiv sein: Wenn am späteren Freitag abend der Mond in den Widder wechselt, ist der Zeitpunkt ideal, um sich ins Nachtleben zu stürzen.","Aktives Wochenende"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Bereits der heutige Dienstag ist ein Tag der grossen Pläne: das können berufliche wie auch Ferienpläne sein.","Und wenn von morgen Mittwoch bis Freitagmittag der Mond durch die Zwillinge wandert, bekommt man noch zusätzliche Anregungen.","Morgen Mittwoch gibt es zwar kurzfristig eine kritische Konstellation von Mond und Pluto: dann können unverdaute Gefühle nochmals hochkommen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Und wenn von morgen Mittwoch bis Freitagmittag der Mond durch die Zwillinge wandert, bekommt man noch zusätzliche Anregungen.","Morgen Mittwoch gibt es zwar kurzfristig eine kritische Konstellation von Mond und Pluto: dann können unverdaute Gefühle nochmals hochkommen.","Am Donnerstag sieht aber schon alles wieder anders aus:Mit dem Neumond in den Zwillingen und anderen harmonischen Mond-Konstellationen ist das das der günstigste Tag der Woche - hervorragend geeignet für den Start neuer Projekte sowie die Kommunikation ganz allgemein."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Die Krebs-Venus zeigt an, dass man sich nach verlässlichen Werten sehnt und wieder mehr Sicherheit im emotionalen Bereich braucht.","So richtig spürbar wird das aber vielleicht erst ab Freitagmittag, wenn der Mond die Zwillinge verlässt und ebenfalls in den Krebs tritt.","Dann ist die Zeit zum Schmusen und Kuscheln gekommen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Wer zusammen mit seinem Liebsten in Gefühlen schwelgen möchte, der wählt am besten den Freitagabend.","Dann treffen sich nämlich Mond und Venus im Krebs: Das ist ein vielversprechender Abend, ganz besonders für Liebesromanzen.","Weil der Mond aber nicht sichtbar ist, kann man diese spezielle Stimmung leider nicht beim Mondscheinspaziergang geniessen, sollte aber auf jeden Fall einem romantischen Ambiente den Vorzug geben."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Dann treffen sich nämlich Mond und Venus im Krebs: Das ist ein vielversprechender Abend, ganz besonders für Liebesromanzen.","Weil der Mond aber nicht sichtbar ist, kann man diese spezielle Stimmung leider nicht beim Mondscheinspaziergang geniessen, sollte aber auf jeden Fall einem romantischen Ambiente den Vorzug geben.","Ausklang zum Träumen"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Wer sich nicht recht wohl fühlt, zieht sich nun eher in die eigenen vier Wände zurück.","Wenn sich am Samstagabend Mond und Saturn verbinden, könnte ein solcher Rückzugsmoment eintreten, vielleicht weil man enttäuscht ist, nicht das zu bekommen, was man sich wünscht.","Wer sich einfach nur beleidigt zurückzieht und hofft, dass andere auf ihn zukommen, könnte auch am Sonntag noch mit unerfüllten Sehnsüchten zu kämpfen haben."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Dieser war sogar so gross, dass er nach einer gesanglichen Zugabe rief.","Und nebst dieser wurde schliesslich auch noch das Gedicht «Der Mond ist aufgegangen» von Mathias Claudius vorgetragen.",NA
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Am meisten Meter umfasst dabei das Jahr 1816, das «Liederjahr», während dem Schubert die Lieder zu Dutzenden komponiert hat.","Da folgt auf «Die Perle» «Pflicht und Liebe», weiter kommen «An den Mond (Was schauest du so hell)», «Mignon (So lass mich erscheinen, bis ich werde)», eine «Ouvertüre in B» und das «Streichtrio in B».","Dazwischen liegen die wichtigsten Autographen in Schaukästen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Macht des Mondes","So nah wie der Mond kommt uns kein anderer Himmelskörper.","Nicht nur das Wasser mit den Gezeiten von Ebbe und Flut, sondern auch die Menschen bekommen seine Macht zu spüren - Chronobiologen untersuchen, wie.5 «Wissen»"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Die Macht des Mondes","Chronobiologen untersuchen, wie der Mond die Organismen der Erde beeinflusst - auch den Menschen","Auf vielfältige, wenn auch in der Regel sehr unauffällige Weise beeinflusst der Mond das Leben auf der Erde."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Chronobiologen untersuchen, wie der Mond die Organismen der Erde beeinflusst - auch den Menschen","Auf vielfältige, wenn auch in der Regel sehr unauffällige Weise beeinflusst der Mond das Leben auf der Erde.","Die Chronobiologie, welche sich den rhythmischen Abläufen in der Natur widmet, hat auch den Mond seit langem als einen Faktor ins Auge gefasst."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Auf vielfältige, wenn auch in der Regel sehr unauffällige Weise beeinflusst der Mond das Leben auf der Erde.","Die Chronobiologie, welche sich den rhythmischen Abläufen in der Natur widmet, hat auch den Mond seit langem als einen Faktor ins Auge gefasst.","Denn so nah wie er kommt uns kein anderer Himmelskörper, und nicht nur das Wasser mit Ebbe und Flut bekommt seine Macht zu spüren."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Würde man sie nämlich von der Umwelt abschirmen, dann stiesse man in vielen Fällen auf einen Schlaf-Wach-Rhythmus von 25 Stunden.","Es ist dies nur ein Beispiel für die vielen Einflüsse, die vom Mond ausgehen.","Einflüsse, die wissenschaftlich durchaus belegt sind, und denen die zwei Biologen Klaus-Peter Endres und Wolfgang Schad in einem kürzlich erschienenen Buch nachgehen*."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond:","Seine Bewegungsaktivität ist abends und nachts am grössten, sowie etwa drei Stunden vor dem täglichen Tiefststand des Mondes unter dem Horizont, während Voll- und besonders Neumond.","Auch die Honigbiene «kennt» den Mond: Sie fliegt am aufgeregtesten an Tagen des Vollmondes, wenn die Waben nord-südlich standen und das Ausflugloch nach Norden ging.","Unter den Wirbeltieren ist der Aal ein gutes Beispiel für mondperiodisches Verhalten."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Diese Blankaal-Wanderungen sind, wie die Fangbücher der Fischer vom Oberrhein feststellen, vom Wasserstand, der Temperatur, der Tages- und Jahreszeit und der Mondphase abhängig.","Die grössten Fänge wurden gemacht im Herbst bei steigendem oder hohem Wasserstand, nicht zu kaltem, aber wolkigen Wetter, in der Nacht, und wenn der Mond im dritten Viertel stand.","Nicht nur Regenwurm und Aal spüren die Mondrhythmik und folgen ihr."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond.","Der Mittwoch ist ein kritischer und wichtiger Tag.","Der Kontakt- und Kommunikationsplanet Merkur steht dann in den Zwillingen in Spannung mit Pluto und Mond. Deshalb reagiert man an diesem Tag sehr emotional, nicht immer so flexibel und distanziert, wie man es unter starken Zwillinge-Konstellationen erwarten würde.",NA
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Dabei besteht die Gefahr, dass man alles verliert, oder dass man andere manipuliert oder unter Druck setzt.","Es könnte sich deshalb lohnen, mit wichtigen Entscheidungen bis zum Donnerstag zu warten, weil dann der Mond harmonisch steht und die exakte Sonne-Jupiter-Konstellation unterstützend wirkt in bezug auf Offenheit, Toleranz und Entgegenkommen.","Alles in allem ist diese Woche im Vergleich zur letzten nicht mehr ganz so unbeschwert, weil die angespannte Verbindung von Merkur und Pluto, die bis etwa Freitag spürbar ist, einige «Altlasten» hochbringen kann."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Nachtschwärmer könnten in den frühen Morgenstunden des Sonntags einigen Stimmungsschwankungen unterliegen.","Ein disharmonischer Kontakt von Mond und Venus macht es nicht leicht, unterschiedliche Bedürfnisse unter einen Hut zu kriegen.","Gefühl und Lustprinzip wollen nicht so recht zusammen, und so könnte man mit Entscheidungsproblemen zu kämpfen haben."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Einen Tag vor einer Vollmondnacht lädt Kurt Aeschbacher zur Mondschein-Party in der «Casa Nostra» ein.","Ein kunterbuntes Völklein gibt sich im Gästehaus ein Stelldichein: Die Bestsellerautorin und Tiroler Volkskundlerin Johanna Paungger weiss über den Mond und seine Einflüsse auf den Menschen zu berichten.","Dr."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond»","Jahrhundert.","Kurze Gesänge von Palestrina und Monteverdi, ein Ausschnitt aus Schuberts «Nachtgesang» und Robert Schumanns Zyklus «Frauenliebe und -leben» folgten, dann nochmals ein Sprung zu einem Sprechchor von Wladimir Vogel, dem neckischen «Mann im Mond» der deutschen Gruppe «Die Prinzen» und John Cages «4 Minuten 33 Sekunden», wovon allerdings nur ein Viertel geschwiegen wurde; fast fünf Minuten Schweigen wollte Scheuber dem Publikum nicht zumuten.","Lokale Netzwerke pflegen"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Der Wunsch, etwas zu erleben, zu sehen und gesehen zu werden, drängt einen aus dem Haus, und tatsächlich ist dies der beste Abend der Woche, was die gute Laune anbelangt.","Noch ist der Mond im Widder, was auf Dynamik und Unternehmenslust deutet.","Am Sonntag steht der Mond dann im Stier in angespannter Verbindung mit Venus und Uranus - das könnte wiederum für einige Stimmungsschwankungen sorgen man nicht recht weiss, was man nun eigentlich will."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Noch ist der Mond im Widder, was auf Dynamik und Unternehmenslust deutet.","Am Sonntag steht der Mond dann im Stier in angespannter Verbindung mit Venus und Uranus - das könnte wiederum für einige Stimmungsschwankungen sorgen man nicht recht weiss, was man nun eigentlich will.","Man schwankt zwischen Anlehnungsbedürfnis und Freiheitsdrang und ist dabei etwas unberechenbar."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Ab Donnerstagabend herrscht eine sehr emotionale Stimmung.","Der Mond tritt in den Krebs und steht dort am Freitag in Spannung mit Mars.","Deshalb reagiert man schnell und heftig, und Gefühle können ziemlich unkontrolliert an die Oberfläche kommen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","In diesem Fall neigt man zu einer pessimistischen, einseitigen Meinung und muss sich mit verletzenden und zynischen Bemerkungen zurückhalten.","Wenn am Sonntag Mond und Venus im Löwen und Uranus in Spannung stehen, bekommen Gefühle eine dramatische Note.","Man handelt unter Umständen, ohne die Folgen abzuschätzen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Dennoch bleibt der Mars der erdnächste Punkt im Weltraum, auf dem es Leben gegeben haben könnte.","Ausserdem ist er für die Erdenbewohner nach dem Mond der nächste Himmelskörper, auf dem Astronauten landen könnten.","Das andere mögliche Ziel, die Venus, ist schon vor Jahrzehnten ausgefallen, nachdem Raumsonden bei ihr eine Oberflächen-Temperatur von annähernd 500 Grad Celsius gemessen hatten."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Während am Freitag harmonische Einflüsse des Mondes noch für mehr oder weniger Ausgeglichenheit sorgen, bieten die Sterne amWochenende ein gemischtes Programm.","Während der Mond in der Waage und die Venus im Löwen Lebensfreude und Toleranz signalisieren, brauen sich gleichzeitig einige Spannungskonstellationen zusammen.","Diese könnten Hektik und Aufregung, aber auch Hindernisse und Schwierigkeiten bringen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Eine stabile Mitte zu finden, fällt jetzt schwer, und so ist dieses Wochenende für wichtige Entscheidungen nicht geeignet.","Am Sonntagabend, wenn der Mond bei Uranus im Wassermann steht, kann sich denn auch schon wieder ganz überraschend eine Gefühlswende abzeichnen.","Die Wochenend-Konstellation macht es schwierig, Grenzen zu setzen, und so besteht eine Tendenz zum Überborden in verschiedener Hinsicht."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Im Kalendarium des soeben erschienenen Appenzeller Kalenders für das Jahr 1998 ist eine von vielen Leserinnen und Lesern gewünschte Präzisierung vorgenommen worden.","Auf die Stunde genau gibt der Appenzeller Kalender nun Auskunft, in welchem Tierkreiszeichen der Mond steht.","Ein Beispiel: Steht der Mond am Samstag, 9."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Auf die Stunde genau gibt der Appenzeller Kalender nun Auskunft, in welchem Tierkreiszeichen der Mond steht.","Ein Beispiel: Steht der Mond am Samstag, 9.","Mai 1998, im Zeichen der Waage oder des Krebses?"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond",""""" «Obsigend und nidsigend» hat nichts mit den Mondphasen zu tun, sondern allein mit dem Lauf des Mondes über den Horizont.","Steht der Mond am gleichen Ort im Tierkreis wie die Sonne am kürzesten Tag, so ist er in Tiefststellung.","Der Mond steht tief über dem Südhorizont und steigt nun täglich, er läuft «obsigend»."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Steht der Mond am gleichen Ort im Tierkreis wie die Sonne am kürzesten Tag, so ist er in Tiefststellung.","Der Mond steht tief über dem Südhorizont und steigt nun täglich, er läuft «obsigend».","Mit dem Zeichen der Zwillinge hat er seine Höchststellung erreicht."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Bei «obsigend» soll gepflanzt werden, was in die Höhe wächst, eine Quelle gefasst, ein Wassergraben ausgestochen, ein Miststock auf die Wiese versetzt werden.","Allerdings nur bei zunehmendem Mond sollten die Haare geschnitten werden.","Bei «nidsigend» soll der Mist ausgetragen werden, denn sonst bleibt der Mist bis zum Heuet liegen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Empfohlen wird das Pflanzen von Kartoffeln und Rüben.","Bei «nidsigend», aber nur bei abnehmendem Mond soll das Bauholz für ein Haus geschlagen werden.",""""""
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond»","Pro Tag werden auf der «Kreuzegg» rund 12 bis 15 Kubikmeter Rundholz verarbeitet.","«Nidsigehender Mond» ","Robert Manser, Bauherr auf der «Kreuzegg», schlug die 100 bis 150 Jahre alten Bergfichten im letzten Frühherbst im eigenen Wald nördlich der Kreuzegg."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond,","Robert Manser, Bauherr auf der «Kreuzegg», schlug die 100 bis 150 Jahre alten Bergfichten im letzten Frühherbst im eigenen Wald nördlich der Kreuzegg.","«Natürlich bei nidsigehendem Mond, wie es eben bei traditionsbewussten Holzern noch üblich sei, verrät Manser.","Mit der 700 Meter langen Seilbahn der Gebrüder Rüegg aus Goldingen wurden die Rundhölzer aus den beiden vom Revierförster Urs Kern bestimmten Schlägen zum Berg verfrachtet."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond.","Kühn erheben sich die Berge.","Hinter ihren stolzen, steil aufragenden Felsen verbirgt sich ein scheuer Mond. Ein alter Mann sitzt dort, lächelt vor sich hin und verschwindet vor meinen Augen.",NA
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Auch wenn einem vielleicht der Liebeskummer und die Probleme der vergangenen Woche noch schwer auf dem Magen liegen, sieht man die Welt am Wochenende nicht mehr ganz so schwarz.","Zwar bringt die Mond-Neptun-Verbindung am Samstag morgen noch nicht unbedingt die gewünschte Stimmungsverbesserung, doch wenn am Mittwoch der Mond in den Löwen wechselt, hat man bereits wieder mehr Energie und ist eher bereit, die Initiative zu ergreifen.","Im Verlauf des Tages wie auch in der Nacht auf den Sonntag zeichnen sich dann Konstellationen ab, die einerseits Leidenschaft und Intensität versprechen, und anderseits wieder deutlich mehr Anlass zu Optimismus und Hoffnung bieten."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond.","Draussen indes liebkost mit dem Plantanos flüsternd die Pinie,","Und bald steiget herauf vom Capitole der Mond. ","Aber was gibt's?"
